727011,Kurja vas/Šentjoštu,to_center
603112,Lahova pot,from_center
603111,Lahova pot,to_center
406071,Lanišče,to_center
406072,Lanišče,from_center
504092,Lavrica,from_center
504091,Lavrica,to_center
504082,Lavrica pri Malči,from_center
504081,Lavrica pri Malči,to_center
204011,Leskoškova,to_center
204012,Leskoškova,from_center
204041,Letališka,to_center
204042,Letališka,from_center
204051,Letališka-obračališče,to_center
614072,Lipe,from_center
614071,Lipe,to_center
103201,Litostroj,to_center
803051,Litostrojska,to_center
803052,Litostrojska,from_center
603092,Livada,from_center
603091,Livada,to_center
304103,Lj. Vevče Papirnica,to_center
304102,Lj. Vevče Papirnica,from_center
716022,Ljubgojna,from_center
716021,Ljubgojna,to_center
404132,Ljubljana Dobrunje,from_center
404131,Ljubljana Dobrunje,to_center
404152,Ljubljana Zadvor,from_center
404151,Ljubljana Zadvor,to_center
505152,Ljubljanska,to_center
803061,Ljubljanske brigade,to_center
803062,Ljubljanske brigade,from_center
725082,Log pri Polh.G.,from_center
725081,Log pri Polh.G.,to_center
736012,Mačkov graben,from_center
736011,Mačkov graben,to_center
415061,Mali Lipoglav,to_center
505042,Mali vrh,from_center
505041,Mali vrh,to_center
103162,Maroltova,to_center
103161,Maroltova,from_center
804131,Martinova,to_center
804071,Medno,to_center
804072,Medno,from_center
805021,Medvode,to_center
805022,Medvode,from_center
805023,Medvode,to_center
805052,Medvode na klancu,from_center
805041,Medvode naselje,to_center
805011,Medvoška a.p.,to_center
805012,Medvoška a.p.,from_center
102081,Mercator,to_center
102082,Mercator,from_center
604031,Mestni log,to_center
503051,Mihov štradon,to_center
503052,Mihov štradon,from_center
602072,Mirje,from_center
602071,Mirje,to_center
745032,Mostiček,from_center
745031,Mostiček,to_center
102061,Mostovna,to_center
102062,Mostovna,from_center
536012,Mrzle njive,to_center
603062,Murgle,from_center
603061,Murgle,to_center
603064,Murgle,from_center
804212,Murkova,from_center
804211,Murkova,to_center
704062,Na Gmajnici,from_center
704061,Na Gmajnici,to_center
802031,Na jami,to_center
802032,Na jami,from_center
804091,Na klancu,to_center
804092,Na klancu,from_center
203231,Na Žale,to_center
203232,Na Žale,from_center
204131,Nadgorica,to_center
204132,Nadgorica,from_center
100012,Navje,from_center
745041,Notranje Gorice,to_center
203171,Nove Jarše,to_center
203161,Nove Jarše-Šmartinska,to_center
103081,Nove Stožice,to_center
203071,Nove Žale,to_center
203072,Nove Žale,from_center
805031,Novo naselje,to_center
805032,Novo naselje,from_center
204101,Novo Polje,to_center
204102,Novo Polje,to_center
504051,NS Rudnik,to_center
504052,NS Rudnik,from_center
504061,NS Rudnik,to_center
804111,Ob daljnovodu,to_center
804112,Ob daljnovodu,from_center
303032,Ob sotočju,from_center
104081,Obrtna cona,to_center
104082,Obrtna cona,from_center
804202,Omersova,from_center
804201,Omersova,to_center
503014,Orlova,from_center
304021,Osenjakova,to_center
304022,Osenjakova,from_center
505162,OŠ Brinje,to_center
745101,OŠ Jezero,to_center
104151,OŠ Maksa Pečarja,to_center
104152,OŠ Maksa Pečarja,from_center
404162,OŠ Sostro,from_center
404161,OŠ Sostro,to_center
804342,Oval,from_center
804341,Oval,to_center
415052,Pance K.,from_center
415051,Pance K.,to_center
101021,Parmova,to_center
101022,Parmova,from_center
503041,Peruzzijeva,to_center
503042,Peruzzijeva,from_center
736022,Petačev graben,from_center
736021,Petačev graben,to_center
304111,Petrol,to_center
304112,Petrol,from_center
614012,Plečnikova cerkev,from_center
614011,Plečnikova cerkev,to_center
803121,Plešičeva,to_center
803122,Plešičeva,from_center
403031,Pod Golovcem,to_center
403032,Pod Golovcem,from_center
505112,Pod gozdom,from_center
505111,Pod gozdom,to_center
504072,Pod Hribom,from_center
504071,Pod Hribom,to_center
804191,Pod Kamno Gorico,to_center
702012,Pod Rožnikom,from_center
702011,Pod Rožnikom,to_center
804031,Podgora,to_center
804032,Podgora,from_center
415022,Podlipoglav,from_center
